benchmark,constraint,n_unconstrained_kept,n_constrained_kept,n_compliant,unc_reject_rate,con_reject_rate,pass_unconstrained,pass_constrained,compliance_rate,performance_drop,binding_score
lcb_medium,no_loops,118,117,77,0.3099,0.3158,0.7203,0.6234,0.6581,0.097,0.0638
lcb_medium,stdlib_whitelist,118,124,51,0.3099,0.2749,0.7203,0.8039,0.4113,-0.0836,-0.0344
lcb_medium,no_recursion,118,124,94,0.3099,0.2749,0.7203,0.7766,0.7581,-0.0563,-0.0426
lcb_medium,no_helpers,118,130,129,0.3099,0.2398,0.7203,0.7752,0.9923,-0.0549,-0.0544
